,iata,wiki_title,state_names,num_words_matched,max_state
PORT COLUMBUS,CMH,John Glenn Columbus International Airport - Wikipedia,"{'Alaska': 10, 'Colorado': 1, 'Florida': 9, 'Georgia': 1, 'Illinois': 2, 'Nevada': 1, 'New Mexico': 2, 'New York': 9, 'North Carolina': 1, 'Ohio': 84, 'Oklahoma': 3, 'Pennsylvania': 3, 'Texas': 1, 'Washington': 19}",1,True
HAYNARD AIR TERMINAL,HWD,Hayward Executive Airport - Wikipedia,"{'California': 104, 'Nevada': 3, 'Utah': 3}",0,True
PINAL AIRPARK,AVW,Marana Regional Airport - Wikipedia,"{'Arizona': 86, 'Nevada': 3, 'New Mexico': 2}",0,True
MONTAUK,MTP,Montauk Airport - Wikipedia,{'New York': 35},1,True
JONES PRIVATE,SJU,Luis Muñoz Marín International Airport - Wikipedia,"{'Florida': 43, 'Georgia': 10, 'Hawaii': 3, 'Kentucky': 4, 'Maryland': 10, 'Massachusetts': 10, 'New Jersey': 3, 'New York': 9, 'Pennsylvania': 10, 'Puerto Rico': 225, 'Virgin Islands': 5, 'Washington': 14}",0,False
TODDS,EWR,Newark Liberty International Airport - Wikipedia,"{'Alaska': 17, 'Arkansas': 2, 'California': 3, 'Connecticut': 2, 'Delaware': 2, 'Florida': 11, 'Georgia': 1, 'Guam': 2, 'Illinois': 1, 'Indiana': 10, 'Kansas': 6, 'Kentucky': 10, 'Maine': 2, 'Maryland': 1, 'Massachusetts': 1, 'New Jersey': 170, 'New York': 88, 'North Carolina': 1, 'Oklahoma': 1, 'Pennsylvania': 8, 'Texas': 1, 'Washington': 38}",0,False
PRICE FIELD,ATL,Hartsfield–Jackson Atlanta International Airport - Wikipedia,"{'Alabama': 2, 'Alaska': 9, 'Arkansas': 4, 'California': 1, 'Colorado': 7, 'Florida': 21, 'Georgia': 163, 'Idaho': 4, 'Illinois': 2, 'Indiana': 9, 'Iowa': 6, 'Kansas': 6, 'Kentucky': 6, 'Louisiana': 4, 'Maryland': 1, 'Massachusetts': 1, 'New York': 15, 'Oklahoma': 2, 'Texas': 3, 'Virginia': 1, 'Washington': 49}",0,False
BUSHNELL,MCO,Orlando International Airport - Wikipedia,"{'Alaska': 7, 'California': 2, 'Colorado': 3, 'Delaware': 4, 'Florida': 284, 'Georgia': 1, 'Illinois': 3, 'Indiana': 15, 'Kansas': 9, 'Kentucky': 8, 'Massachusetts': 1, 'Michigan': 1, 'New Jersey': 1, 'New Mexico': 1, 'New York': 13, 'North Carolina': 1, 'Oklahoma': 1, 'Pennsylvania': 1, 'Puerto Rico': 1, 'Texas': 1, 'Washington': 35}",0,True
MIAMI INTERNATIONAL,MIA,Miami International Airport - Wikipedia,"{'Arkansas': 2, 'California': 1, 'Florida': 230, 'Georgia': 1, 'Illinois': 1, 'Indiana': 9, 'Iowa': 3, 'Kansas': 6, 'Kentucky': 14, 'New Jersey': 3, 'New York': 22, 'North Carolina': 3, 'Oklahoma': 1, 'Oregon': 3, 'Pennsylvania': 1, 'Tennessee': 3, 'Texas': 4, 'Virginia': 6, 'Washington': 30}",2,True
GALENA BAY,FAI,Fairbanks International Airport - Wikipedia,"{'Alaska': 147, 'Colorado': 9, 'Illinois': 9, 'Minnesota': 9, 'New York': 3, 'Washington': 9}",0,True
COLLEGE PARK,CGS,College Park Airport - Wikipedia,"{'Maryland': 168, 'New York': 5, 'North Carolina': 1, 'Rhode Island': 2, 'Virginia': 3, 'Washington': 42}",2,True
